Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0603_1608Metric",362.975000,-142.825000,180.000000,bottom
"C2","100n","C_0603_1608Metric",321.951992,-124.276992,135.000000,bottom
"C3","100n","C_0603_1608Metric",320.254937,-125.974049,135.000000,bottom
"C4","100n","C_0603_1608Metric",330.925000,-123.325000,180.000000,bottom
"C5","100n","C_0603_1608Metric",337.875000,-128.375000,90.000000,bottom
"C6","100n","C_0603_1608Metric",335.900000,-138.275000,-90.000000,bottom
"C7","100n","C_0603_1608Metric",323.025000,-137.825000,180.000000,bottom
"C8","1u","C_0603_1608Metric",362.975000,-151.775000,0.000000,bottom
"C9","1u","C_0603_1608Metric",362.975000,-144.875000,180.000000,bottom
"C10","100n","C_0603_1608Metric",368.675000,-137.775000,0.000000,bottom
"C11","100n","C_0603_1608Metric",337.325000,-134.350000,-90.000000,bottom
"C12","22p","C_0603_1608Metric",323.200000,-119.175000,-90.000000,bottom
"C13","22p","C_0603_1608Metric",326.300000,-115.675000,0.000000,bottom
"D1","D_Small","D_SOD-123",43.095000,-90.665000,90.000000,bottom
"D2","D_Small","D_SOD-123",62.145000,-90.665000,90.000000,bottom
"D3","D_Small","D_SOD-123",81.195000,-90.665000,90.000000,bottom
"D4","D_Small","D_SOD-123",100.245000,-90.665000,90.000000,bottom
"D5","D_Small","D_SOD-123",119.295000,-90.665000,90.000000,bottom
"D6","D_Small","D_SOD-123",138.345000,-90.665000,90.000000,bottom
"D7","D_Small","D_SOD-123",157.395000,-90.665000,90.000000,bottom
"D8","D_Small","D_SOD-123",176.445000,-90.665000,90.000000,bottom
"D9","D_Small","D_SOD-123",195.495000,-90.665000,90.000000,bottom
"D10","D_Small","D_SOD-123",214.545000,-90.665000,90.000000,bottom
"D11","D_Small","D_SOD-123",233.595000,-90.665000,90.000000,bottom
"D12","D_Small","D_SOD-123",252.645000,-90.665000,90.000000,bottom
"D13","D_Small","D_SOD-123",271.695000,-90.665000,90.000000,bottom
"D14","D_Small","D_SOD-123",300.270000,-90.665000,90.000000,bottom
"D15","D_Small","D_SOD-123",333.607500,-90.665000,90.000000,bottom
"D16","D_Small","D_SOD-123",352.657500,-90.665000,90.000000,bottom
"D17","D_Small","D_SOD-123",371.707500,-90.665000,90.000000,bottom
"D18","D_Small","D_SOD-123",47.857500,-109.715000,90.000000,bottom
"D19","D_Small","D_SOD-123",71.670000,-109.715000,90.000000,bottom
"D20","D_Small","D_SOD-123",90.720000,-109.715000,90.000000,bottom
"D21","D_Small","D_SOD-123",109.770000,-109.715000,90.000000,bottom
"D22","D_Small","D_SOD-123",128.820000,-109.715000,90.000000,bottom
"D23","D_Small","D_SOD-123",147.870000,-109.715000,90.000000,bottom
"D24","D_Small","D_SOD-123",166.920000,-109.715000,90.000000,bottom
"D25","D_Small","D_SOD-123",185.970000,-109.715000,90.000000,bottom
"D26","D_Small","D_SOD-123",205.020000,-109.715000,90.000000,bottom
"D27","D_Small","D_SOD-123",224.070000,-109.715000,90.000000,bottom
"D28","D_Small","D_SOD-123",243.120000,-109.715000,90.000000,bottom
"D29","D_Small","D_SOD-123",262.170000,-109.715000,90.000000,bottom
"D30","D_Small","D_SOD-123",281.220000,-109.715000,90.000000,bottom
"D31","D_Small","D_SOD-123",305.032500,-109.715000,90.000000,bottom
"D32","D_Small","D_SOD-123",333.607500,-109.715000,90.000000,bottom
"D33","D_Small","D_SOD-123",352.657500,-109.715000,90.000000,bottom
"D34","D_Small","D_SOD-123",371.707500,-109.715000,90.000000,bottom
"D35","D_Small","D_SOD-123",50.238750,-128.765000,90.000000,bottom
"D36","D_Small","D_SOD-123",76.432500,-128.765000,90.000000,bottom
"D37","D_Small","D_SOD-123",95.482500,-128.765000,90.000000,bottom
"D38","D_Small","D_SOD-123",114.532500,-128.765000,90.000000,bottom
"D39","D_Small","D_SOD-123",133.582500,-128.765000,90.000000,bottom
"D40","D_Small","D_SOD-123",152.632500,-128.765000,90.000000,bottom
"D41","D_Small","D_SOD-123",171.682500,-128.765000,90.000000,bottom
"D42","D_Small","D_SOD-123",190.732500,-128.765000,90.000000,bottom
"D43","D_Small","D_SOD-123",209.782500,-128.765000,90.000000,bottom
"D44","D_Small","D_SOD-123",228.832500,-128.765000,90.000000,bottom
"D45","D_Small","D_SOD-123",247.882500,-128.765000,90.000000,bottom
"D46","D_Small","D_SOD-123",266.932500,-128.765000,90.000000,bottom
"D47","D_Small","D_SOD-123",297.888750,-128.765000,90.000000,bottom
"D48","D_Small","D_SOD-123",55.001250,-147.815000,90.000000,bottom
"D49","D_Small","D_SOD-123",85.957500,-147.815000,90.000000,bottom
"D50","D_Small","D_SOD-123",105.007500,-147.815000,90.000000,bottom
"D51","D_Small","D_SOD-123",124.057500,-147.815000,90.000000,bottom
"D52","D_Small","D_SOD-123",143.107500,-147.815000,90.000000,bottom
"D53","D_Small","D_SOD-123",162.157500,-147.815000,90.000000,bottom
"D54","D_Small","D_SOD-123",181.207500,-147.815000,90.000000,bottom
"D55","D_Small","D_SOD-123",200.257500,-147.815000,90.000000,bottom
"D56","D_Small","D_SOD-123",219.307500,-147.815000,90.000000,bottom
"D57","D_Small","D_SOD-123",238.357500,-147.815000,90.000000,bottom
"D58","D_Small","D_SOD-123",257.407500,-147.815000,90.000000,bottom
"D59","D_Small","D_SOD-123",293.126250,-147.815000,90.000000,bottom
"D60","D_Small","D_SOD-123",352.657500,-147.815000,90.000000,bottom
"D61","D_Small","D_SOD-123",45.476250,-166.865000,90.000000,bottom
"D62","D_Small","D_SOD-123",69.288750,-166.865000,90.000000,bottom
"D63","D_Small","D_SOD-123",93.101250,-166.865000,90.000000,bottom
"D64","D_Small","D_SOD-123",116.913750,-166.865000,90.000000,bottom
"D65","D_Small","D_SOD-123",155.013750,-166.865000,90.000000,bottom
"D66","D_Small","D_SOD-123",202.638750,-166.865000,90.000000,bottom
"D67","D_Small","D_SOD-123",235.976250,-166.865000,90.000000,bottom
"D68","D_Small","D_SOD-123",259.788750,-166.865000,90.000000,bottom
"D69","D_Small","D_SOD-123",283.601250,-166.865000,90.000000,bottom
"D70","D_Small","D_SOD-123",307.413750,-166.865000,90.000000,bottom
"D71","D_Small","D_SOD-123",333.607500,-166.865000,90.000000,bottom
"D72","D_Small","D_SOD-123",352.657500,-166.865000,90.000000,bottom
"D73","D_Small","D_SOD-123",371.707500,-166.865000,90.000000,bottom
"D74","WS2812B","SK6812MINI-E_3.2x2.8_reverse_mount",375.650000,-124.500000,90.000000,bottom
"J1","Conn_01x06_MountingPin","JST_SHL_SM06B-SHLS-TF_1x06-1MP_P1.00mm_Horizontal",176.780000,-161.885000,0.000000,bottom
"J2","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",316.575000,-138.075000,180.000000,bottom
"J3","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",309.975000,-143.175000,180.000000,bottom
"MX1","MX_SW_HS","SW_MX_HS_1u",40.000000,-90.000000,180.000000,bottom
